,university_name,score_cwur,score_shanghai,score_times,mean_score
835,University of Porto,-0.09265599676447779,,,-0.09265599676447779
832,University of Pisa,-0.09265599676447779,,,-0.09265599676447779
125,Eindhoven University of Technology,-0.17881435739633528,,-0.0068525967740624,-0.09283347708519885
873,University of South Carolina  Columbia,-0.09351758037079681,,,-0.09351758037079681
459,Ruhr University Bochum,-0.0943791639771146,,,-0.0943791639771146
287,Leipzig University,-0.09524074758343362,,,-0.09524074758343362
22,Autonomous University of Madrid,-0.10299500004029986,,,-0.10299500004029986
318,Medical University of South Carolina,-0.1047181672529379,,,-0.1047181672529379
513,Stellenbosch University,-0.10557975085925568,,,-0.10557975085925568
277,Kyungpook National University,-0.10816450167821151,,,-0.10816450167821151
883,University of Stuttgart,-0.10988766889084954,,,-0.10988766889084954
741,University of Louisville,-0.11074925249716733,,,-0.11074925249716733
444,RWTH Aachen University,0.06501380319182122,,-0.2894026916673417,-0.11219444423776026
3,Aarhus University,0.5526701243681342,-0.674415256747068,-0.22090569896594084,-0.11421694378162488
265,Kings College London,0.5767944653450556,-0.4887364179412968,-0.4478019872893322,-0.11991464662852445
375,National and Kapodistrian University of Athens,-0.12108825577299062,,,-0.12108825577299062
736,University of Lige,-0.12625775741090225,,,-0.12625775741090225
609,University of Bordeaux,-0.12798092462353908,,,-0.12798092462353908
850,University of Rome Tor Vergata,-0.12798092462353908,,,-0.12798092462353908
529,Technical University of Berlin,-0.12884250822985807,,,-0.12884250822985807
174,Gwangju Institute of Science and Technology,-0.12970409183617587,,,-0.12970409183617587
927,University of Vermont,-0.12970409183617587,,,-0.12970409183617587
44,Boazii University,-0.4157498491339433,,0.1558277608917651,-0.1299610441210891
461,Rush University,-0.1305656754424949,,,-0.1305656754424949
49,Brown University,0.5367308276512404,-0.5040861011868655,-0.43067773911398166,-0.13267767088320226
789,University of NebraskaLincoln,-0.13659676068672555,,,-0.13659676068672555
137,Federal University of Rio de Janeiro,-0.13831992789936234,,,-0.13831992789936234
289,Linkping University,-0.13918151150568137,,,-0.13918151150568137
985,Wesleyan University,-0.14004309511199917,,,-0.14004309511199917
844,University of Regensburg,-0.1409046787183182,,,-0.1409046787183182
981,Washington State University Pullman,-0.14779734756886662,,,-0.14779734756886662
975,VitaSalute San Raffaele University,-0.14952051478150344,,,-0.14952051478150344
251,Kansas State University,-0.14952051478150344,,,-0.14952051478150344
345,Nankai University,-0.14952051478150466,,,-0.14952051478150466
346,Nanyang Technological University,0.451003258822543,,-0.7517573924017993,-0.15037706678962814
210,Indian Institute of Technology Delhi,-0.15210526560045926,,,-0.15210526560045926
469,Saint Petersburg State University,-0.15296684920677828,,,-0.15296684920677828
714,University of Innsbruck,-0.15296684920677828,,,-0.15296684920677828
996,Xiamen University,-0.15296684920677828,,,-0.15296684920677828
348,National Autonomous University of Mexico,-0.1581363508446899,,,-0.1581363508446899
827,University of Pavia,-0.1589979344510077,,,-0.1589979344510077
253,Karlsruhe Institute of Technology,0.12187832120884685,,-0.4435209252454945,-0.16082130201832384
862,University of Science and Technology of China,0.006426117962157556,,-0.3322133121057177,-0.16289359707178008
588,University of Amsterdam,0.5509469571554974,,-0.8801892537169264,-0.1646211482807145
440,Queens University Belfast,-0.16589060330155617,,,-0.16589060330155617
786,University of Navarra,-0.169336937726831,,,-0.169336937726831
811,University of Oregon,-0.169336937726831,,,-0.169336937726831
108,Darmstadt University of Technology,-0.17019852133314878,,,-0.17019852133314878
719,University of Jena,-0.17019852133314878,,,-0.17019852133314878
749,University of Marburg,-0.17019852133314878,,,-0.17019852133314878
215,Indiana University  Bloomington,0.36714245447420213,-0.714175200153993,,-0.17351637283989546
521,Swiss Federal Institute of Technology in Lausanne,0.42515575063298483,-0.7789849738575051,,-0.17691461161226013
830,University of Perugia,-0.18053752460897207,,,-0.18053752460897207
606,University of Birmingham,0.41137041293188914,-0.7597978698005442,-0.19521932670291567,-0.1812155945238569
472,San Diego State University,-0.18226069182161012,,,-0.18226069182161012
877,University of Southern Denmark,-0.18226069182161012,,,-0.18226069182161012
912,University of Trieste,-0.1839838590342469,,,-0.1839838590342469
540,Texas AM University College Station,0.3566598539306592,-0.7271797929037107,,-0.18525996948652576
35,BenGurion University of the Negev,-0.1857070262468837,,,-0.1857070262468837
815,University of Otago,-0.18656860985320273,,,-0.18656860985320273
246,Justus Liebig University Giessen,-0.18915336067215732,,,-0.18915336067215732
93,College of William and Mary,-0.19087652788479537,,,-0.19087652788479537
857,University of Santiago de Compostela,-0.19087652788479537,,,-0.19087652788479537
546,Tianjin University,-0.19173811149111314,,,-0.19173811149111314
1004,Yeshiva University,0.2907487080472882,,-0.6746982756127229,-0.19197478378271735
702,University of Helsinki,0.12144752940568797,-0.5054815269364635,,-0.19201699876538778
514,Stockholm University,0.266624367070368,-0.65409436926856,,-0.193735001099096
468,Saint Louis University,-0.19518444591638798,,,-0.19518444591638798
194,Hong Kong Polytechnic University,-0.1969076131290248,,,-0.1969076131290248
1009,York University,-0.19776919673534382,,,-0.19776919673534382
696,University of Guelph,-0.19863078034166282,,,-0.19863078034166282
611,University of Bordeaux II,-0.20035394755429964,,,-0.20035394755429964
863,University of Science Malaysia,-0.20121553116061866,,,-0.20121553116061866
671,University of Eastern Finland,-0.20207711476693643,,,-0.20207711476693643
620,University of Buenos Aires,-0.20466186558589225,,,-0.20466186558589225
678,University of Exeter,-0.17450643936474264,,-0.23802994714129136,-0.20626819325301698
787,University of Nebraska Medical Center,-0.2081082000111671,,,-0.2081082000111671
497,Simon Fraser University,-0.2089697836174861,,,-0.2089697836174861
466,Saarland University,-0.2089697836174861,,,-0.2089697836174861
707,University of Hull,-0.21069295083012168,,,-0.21069295083012168
680,University of Ferrara,-0.21069295083012168,,,-0.21069295083012168
898,University of Texas Medical Branch at Galveston,-0.21069295083012293,,,-0.21069295083012293
795,University of New Hampshire,-0.2115545344364407,,,-0.2115545344364407
20,Australian National University,0.07592719553852426,-0.39454517984348947,-0.3193701259742051,-0.21266270342639013
574,University at Albany SUNY,-0.21413928525539652,,,-0.21413928525539652
961,Universit catholique de Louvain,0.13480207530362598,,-0.5633906624729463,-0.21429429358466018
598,University of Bari Aldo Moro,-0.21500086886171554,,,-0.21500086886171554
969,Versailles SaintQuentinenYvelines University,-0.21672403607435237,,,-0.21672403607435237
966,Utrecht University,0.2821328719841029,-0.20825584227226945,-0.7260710201387739,-0.21739799680898017
538,Temple University,-0.21758561968067136,,,-0.21758561968067136
343,Nanjing University of Science and Technology,-0.3907639245507041,,-0.045382155168600766,-0.21807303985965243
128,Ewha Womans University,-0.21844720328698916,,,-0.21844720328698916
552,Tokyo Medical and Dental University,-0.21844720328698916,,,-0.21844720328698916
403,Oklahoma State UniversityStillwater,-0.21844720328698916,,,-0.21844720328698916
425,Polytechnic University of Catalonia,-0.2201703704996272,,,-0.2201703704996272
916,University of Turku,-0.2201703704996272,,,-0.2201703704996272
928,University of Verona,-0.22103195410594498,,,-0.22103195410594498
476,Scuola Normale Superiore di Pisa,-0.22189353771226278,,,-0.22189353771226278
580,University of Alabama  Tuscaloosa,-0.221893537712264,,,-0.221893537712264
276,Kyung Hee University,-0.22275512131858302,,,-0.22275512131858302
79,Chonnam National University,-0.22275512131858302,,,-0.22275512131858302
610,University of Bordeaux I,-0.22275512131858302,,,-0.22275512131858302
549,Tohoku University,0.41998624899507436,-0.6068492403179132,-0.4863315456838702,-0.22439817900223635
557,Tongji University,-0.2244782885312186,,,-0.2244782885312186
865,University of Seville,-0.2244782885312186,,,-0.2244782885312186
739,University of Lorraine,-0.22447828853121982,,,-0.22447828853121982
195,Hong Kong University of Science and Technology,-0.1047181672529379,,-0.34505649823723056,-0.2248873327450842
32,Beijing Normal University,-0.22620145574385664,,,-0.22620145574385664
426,Polytechnic University of Milan,-0.22792462295649343,,,-0.22792462295649343
995,Xian Jiaotong University,-0.22792462295649465,,,-0.22792462295649465
351,National Chiao Tung University,-0.23050937377544925,,,-0.23050937377544925
